objectid,fid_geocod,loc_name,status,score,match_type,match_addr,addr_type,type,placename,place_addr,phone,url,rank,addbldg,addnum,addnumfrom,addnumto,side,stpredir,stpretype,stname,sttype,stdir,staddr,nbrhd,city,subregion,region,postal,postalext,country,langcode,distance,x,y,displayx,displayy,xmin,xmax,ymin,ymax,arc_addres,arc_neighb,arc_city,arc_subreg,arc_region,arc_postal,arc_post_1,arc_countr,field1,report_num,address,city_1,zip,lat,long,fid_cv_buf,id,buff_dist
1,32634,USA.PointAddress,00:00:00,100.0,00:00:00,"351 Park St, Akron, Ohio, 44304",PointAddress,,,,,,,,351,,,R,,,Park,St,,351 Park St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.505664,41.082015,-81.505531,41.08221,-81.506664,-81.504664,41.081015,41.083015,ACROSS FROM 351 PARK ST,,,,,44304,,,32634,02-031270,ACROSS FROM 351 PARK ST,,44304,,,0,0,2640.0
2,11355,USA.PointAddress,00:00:00,100.0,00:00:00,"25 N Fir St, Akron, Ohio, 44304",PointAddress,,,,,,,,25,,,R,N,,Fir,St,,25 N Fir St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506886,41.082091,-81.506711,41.08202,-81.507886,-81.505886,41.081091,41.083091,25 N FIR ST,,Akron,,,44304,,,11355,10028837,25 N FIR ST,Akron,44304,,,0,0,2640.0
3,11580,USA.PointAddress,00:00:00,100.0,00:00:00,"26 N Fir St, Akron, Ohio, 44304",PointAddress,,,,,,,,26,,,L,N,,Fir,St,,26 N Fir St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506948,41.082109,-81.507001,41.08215,-81.507948,-81.505948,41.081109,41.083109,26 N FIR ST,,,,,44304,,,11580,99-014910,26 N FIR ST,,44304,,,0,0,2640.0
4,13555,USA.PointAddress,00:00:00,100.0,00:00:00,"345 Park St, Akron, Ohio, 44304",PointAddress,,,,,,,,345,,,R,,,Park,St,,345 Park St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.50586,41.082137,-81.505731,41.08229,-81.50686,-81.50486,41.081137,41.083137,345 PARK ST,,,,,44304,,,13555,97-010485,345 PARK ST,,44304,,,0,0,2640.0
5,10057,USA.StreetAddress,00:00:00,100.0,00:00:00,"20 N Union St, Akron, Ohio, 44304",StreetAddress,,,,,,,,20,2,42,L,N,,Union,St,,20 N Union St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507634,41.082148,-81.507634,41.082148,-81.508634,-81.506634,41.081148,41.083148,20 N UNION ST,,,,,44304,,,10057,97-019018,20 N UNION ST,,44304,,,0,0,2640.0
6,9716,USA.StreetAddress,00:00:00,100.0,00:00:00,"21 N Union St, Akron, Ohio, 44304",StreetAddress,,,,,,,,21,1,43,R,N,,Union,St,,21 N Union St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507554,41.082148,-81.507554,41.082148,-81.508554,-81.506554,41.081148,41.083148,19 & 21 N UNION ST,,,,,44304,,,9716,02-038422,19 & 21 N UNION ST,,44304,,,0,0,2640.0
7,13400,USA.StreetAddress,00:00:00,100.0,00:00:00,"339 Park St, Akron, Ohio, 44304",StreetAddress,,,,,,,,339,399,321,R,,,Park,St,,339 Park St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506054,41.082219,-81.506054,41.082219,-81.507054,-81.505054,41.081219,41.083219,339 PARK ST,,,,,44304,,,13400,97-031503,339 PARK ST,,44304,,,0,0,2640.0
8,13237,USA.StreetAddress,00:00:00,100.0,00:00:00,"332 Park St, Akron, Ohio, 44304",StreetAddress,,,,,,,,332,398,320,L,,,Park,St,,332 Park St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.506252,41.082243,-81.506252,41.082243,-81.507252,-81.505252,41.081243,41.083243,332 PARK ST,,,,,44304,,,13237,99-009569,332 PARK ST,,44304,,,0,0,2640.0
9,13358,USA.PointAddress,00:00:00,100.0,00:00:00,"337 Park St, Akron, Ohio, 44304",PointAddress,,,,,,,,337,,,R,,,Park,St,,337 Park St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.50611,41.082247,-81.505851,41.08247,-81.50711,-81.50511,41.081247,41.083247,337 PARK ST,,,,,44304,,,13358,97-005431,337 PARK ST,,44304,,,0,0,2640.0
10,11358,USA.PointAddress,00:00:00,100.0,00:00:00,"25 N Union St, Akron, Ohio, 44304",PointAddress,,,,,,,,25,,,R,N,,Union,St,,25 N Union St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507464,41.082282,-81.507171,41.08224,-81.508464,-81.506464,41.081282,41.083282,25 N UNION ST,,,,,44304,,,11358,96-031278,25 N UNION ST,,44304,,,0,0,2640.0
11,11838,USA.StreetAddress,00:00:00,100.0,00:00:00,"27 N Union St, Akron, Ohio, 44304",StreetAddress,,,,,,,,27,1,43,R,N,,Union,St,,27 N Union St,,Akron,,Ohio,44304,,USA,ENG,0.0,-81.507464,41.082282,-81.507464,41.082282,-81.508464,-81.506464,41.081282,41.083282,27 N UNION ST,,,,,44304,,,11838,97-011382,27 N UNION ST,,44304,,,0,0,2640.0
