objectid,fid_geocod,loc_name,status,score,match_type,match_addr,addr_type,type,placename,place_addr,phone,url,rank,addbldg,addnum,addnumfrom,addnumto,side,stpredir,stpretype,stname,sttype,stdir,staddr,nbrhd,city,subregion,region,postal,postalext,country,langcode,distance,x,y,displayx,displayy,xmin,xmax,ymin,ymax,arc_addres,arc_neighb,arc_city,arc_subreg,arc_region,arc_postal,arc_post_1,arc_countr,field1,report_num,address,city_1,zip,lat,long,fid_edgwoo,id,buff_dist
1,1652,USA.PointAddress,00:00:00,90.92,00:00:00,"1065 Norka St, Akron, Ohio, 44307",PointAddress,,,,,,,,1065,,,R,,,Norka,St,,1065 Norka St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542245,41.06496,-81.542001,41.06496,-81.543245,-81.541245,41.06396,41.06596,1065 NORKA AV,,Akron,,,44307,,,1652,11016781,1065 NORKA AV,Akron,44307,,,0,0,2640.0
2,1622,USA.PointAddress,00:00:00,90.92,00:00:00,"1064 Norka St, Akron, Ohio, 44307",PointAddress,,,,,,,,1064,,,L,,,Norka,St,,1064 Norka St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542319,41.065011,-81.542561,41.06501,-81.543319,-81.541319,41.064011,41.066011,1064 NORKA AV,,Akron,,,44307,,,1622,8027715,1064 NORKA AV,Akron,44307,,,0,0,2640.0
3,1310,USA.StreetAddress,00:00:00,90.92,00:00:00,"1051 Norka St, Akron, Ohio, 44307",StreetAddress,,,,,,,,1051,1199,1001,R,,,Norka,St,,1051 Norka St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542245,41.065054,-81.542245,41.065054,-81.543245,-81.541245,41.064054,41.066054,1051 NORKA AV,,Akron,,,44307,,,1310,9034389,1051 NORKA AV,Akron,44307,,,0,0,2640.0
4,1488,USA.PointAddress,00:00:00,90.92,00:00:00,"1059 Schumacher Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1059,,,R,,,Schumacher,Ave,,1059 Schumacher Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.543245,41.06506,-81.542971,41.06507,-81.544245,-81.542245,41.06406,41.06606,1059 SCHUMACHER ST,,,,,44307,,,1488,01-014775,1059 SCHUMACHER ST,,44307,,,0,0,2640.0
5,1490,USA.PointAddress,00:00:00,98.65,00:00:00,"1059 Schumacher Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1059,,,R,,,Schumacher,Ave,,1059 Schumacher Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.543245,41.06506,-81.542971,41.06507,-81.544245,-81.542245,41.06406,41.06606,1059 SHUMACHER AVE,,,,,44307,,,1490,05-033146,1059 SHUMACHER AVE,,44307,,,0,0,2640.0
6,1470,USA.PointAddress,00:00:00,90.92,00:00:00,"1058 Schumacher Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1058,,,L,,,Schumacher,Ave,,1058 Schumacher Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.543318,41.065061,-81.543511,41.06506,-81.544318,-81.542318,41.064061,41.066061,1058 SCHUMACHER,,,,,44307,,,1470,05-023153,1058 SCHUMACHER,,44307,,,0,0,2640.0
7,1471,USA.PointAddress,00:00:00,100.0,00:00:00,"1058 Schumacher Ave, Akron, Ohio, 44307",PointAddress,,,,,,,,1058,,,L,,,Schumacher,Ave,,1058 Schumacher Ave,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.543318,41.065061,-81.543511,41.06506,-81.544318,-81.542318,41.064061,41.066061,1058 SCHUMACHER AV,,Akron,,,44307,,,1471,8030560,1058 SCHUMACHER AV,Akron,44307,,,0,0,2640.0
8,1703,USA.StreetAddress,00:00:00,100.0,00:00:00,"1068 Raymond St, Akron, Ohio, 44307",StreetAddress,,,,,,,,1068,1098,1054,L,,,Raymond,St,,1068 Raymond St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.541085,41.065117,-81.541085,41.065117,-81.542085,-81.540085,41.064117,41.066117,1068 RAYMOND ST,,Akron,,,44307,,,1703,8017826,1068 RAYMOND ST,Akron,44307,,,0,0,2640.0
9,1538,USA.PointAddress,00:00:00,90.92,00:00:00,"1060 Norka St, Akron, Ohio, 44307",PointAddress,,,,,,,,1060,,,L,,,Norka,St,,1060 Norka St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542319,41.065121,-81.542561,41.06512,-81.543319,-81.541319,41.064121,41.066121,1060 NORKA AV,,Akron,,,44307,,,1538,8005117,1060 NORKA AV,Akron,44307,,,0,0,2640.0
10,1581,USA.PointAddress,00:00:00,100.0,00:00:00,"1062 Raymond St, Akron, Ohio, 44307",PointAddress,,,,,,,,1062,,,L,,,Raymond,St,,1062 Raymond St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.541088,41.065131,-81.541301,41.06513,-81.542088,-81.540088,41.064131,41.066131,1062 RAYMOND ST,,Akron,,,44307,,,1581,12030310,1062 RAYMOND ST,Akron,44307,,,0,0,2640.0
11,1447,USA.PointAddress,00:00:00,90.92,00:00:00,"1057 Norka St, Akron, Ohio, 44307",PointAddress,,,,,,,,1057,,,R,,,Norka,St,,1057 Norka St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542245,41.065159,-81.542001,41.06516,-81.543245,-81.541245,41.064159,41.066159,1057 NORKA,,,,,44307,,,1447,01-043203,1057 NORKA,,44307,,,0,0,2640.0
12,1448,USA.PointAddress,00:00:00,90.92,00:00:00,"1057 Norka St, Akron, Ohio, 44307",PointAddress,,,,,,,,1057,,,R,,,Norka,St,,1057 Norka St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542245,41.065159,-81.542001,41.06516,-81.543245,-81.541245,41.064159,41.066159,1057 NORKA AV,,Akron,,,44307,,,1448,12030986,1057 NORKA AV,Akron,44307,,,0,0,2640.0
13,1307,USA.PointAddress,00:00:00,100.0,00:00:00,"1051 Lane St, Akron, Ohio, 44307",PointAddress,,,,,,,,1051,,,R,,,Lane,St,,1051 Lane St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.543975,41.065162,-81.543821,41.06515,-81.544975,-81.542975,41.064162,41.066162,1051 LANE ST,,,,,44307,,,1307,96-022864,1051 LANE ST,,44307,,,0,0,2640.0
14,1428,USA.PointAddress,00:00:00,90.92,00:00:00,"1056 Norka St, Akron, Ohio, 44307",PointAddress,,,,,,,,1056,,,L,,,Norka,St,,1056 Norka St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542319,41.065222,-81.542561,41.06522,-81.543319,-81.541319,41.064222,41.066222,1056 NORKA AV,,Akron,,,44307,,,1428,8030853,1056 NORKA AV,Akron,44307,,,0,0,2640.0
15,1467,USA.PointAddress,00:00:00,100.0,00:00:00,"1058 Raymond St, Akron, Ohio, 44307",PointAddress,,,,,,,,1058,,,L,,,Raymond,St,,1058 Raymond St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.541088,41.065252,-81.541291,41.06525,-81.542088,-81.540088,41.064252,41.066252,1058 RAYMOND ST,,Akron,,,44307,,,1467,9002877,1058 RAYMOND ST,Akron,44307,,,0,0,2640.0
16,1370,USA.PointAddress,00:00:00,100.0,00:00:00,"1054 Nathan St, Akron, Ohio, 44307",PointAddress,,,,,,,,1054,,,L,,,Nathan,St,,1054 Nathan St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.539918,41.065291,-81.540231,41.06527,-81.540918,-81.538918,41.064291,41.066291,1054 NATHAN ST,,Akron,,,44307,,,1370,9010280,1054 NATHAN ST,Akron,44307,,,0,0,2640.0
17,1372,USA.PointAddress,00:00:00,90.92,00:00:00,"1054 Norka St, Akron, Ohio, 44307",PointAddress,,,,,,,,1054,,,L,,,Norka,St,,1054 Norka St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542319,41.065321,-81.542431,41.06532,-81.543319,-81.541319,41.064321,41.066321,1054 NORKA AV,,Akron,,,44307,,,1372,8014677,1054 NORKA AV,Akron,44307,,,0,0,2640.0
18,1350,USA.PointAddress,00:00:00,90.92,00:00:00,"1053 Raymond St, Akron, Ohio, 44307",PointAddress,,,,,,,,1053,,,R,,,Raymond,St,,1053 Raymond St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.541015,41.065352,-81.540881,41.06535,-81.542015,-81.540015,41.064352,41.066352,1053 RAYMOND,,,,,44307,,,1350,05-018576,1053 RAYMOND,,44307,,,0,0,2640.0
19,1351,USA.PointAddress,00:00:00,100.0,00:00:00,"1053 Raymond St, Akron, Ohio, 44307",PointAddress,,,,,,,,1053,,,R,,,Raymond,St,,1053 Raymond St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.541015,41.065352,-81.540881,41.06535,-81.542015,-81.540015,41.064352,41.066352,1053 RAYMOND ST,,Akron,,,44307,,,1351,8025583,1053 RAYMOND ST,Akron,44307,,,0,0,2640.0
20,1246,USA.PointAddress,00:00:00,90.92,00:00:00,"1049 Norka St, Akron, Ohio, 44307",PointAddress,,,,,,,,1049,,,R,,,Norka,St,,1049 Norka St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.542245,41.06537,-81.542071,41.06537,-81.543245,-81.541245,41.06437,41.06637,1049 NORKA AV,,Akron,,,44307,,,1246,9010369,1049 NORKA AV,Akron,44307,,,0,0,2640.0
21,1227,USA.PointAddress,00:00:00,100.0,00:00:00,"1048 Nathan St, Akron, Ohio, 44307",PointAddress,,,,,,,,1048,,,L,,,Nathan,St,,1048 Nathan St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.539918,41.065401,-81.540091,41.06539,-81.540918,-81.538918,41.064401,41.066401,1048 NATHAN ST,,Akron,,,44307,,,1227,9012955,1048 NATHAN ST,Akron,44307,,,0,0,2640.0
22,19097,USA.StreetAddress,00:00:00,100.0,00:00:00,"534 W Thornton St, Akron, Ohio, 44307",StreetAddress,,,,,,,,534,532,544,L,W,,Thornton,St,,534 W Thornton St,,Akron,,Ohio,44307,,USA,ENG,0.0,-81.545579,41.065431,-81.545579,41.065431,-81.546579,-81.544579,41.064431,41.066431,534 W THORNTON ST,,Akron,,,44307,,,19097,9010817,534 W THORNTON ST,Akron,44307,,,0,0,2640.0
